team,striker
Argentina,A Ferguson
Argentina,A Kirschbaum
Argentina,AAP Rivero
Argentina,H Fennell
Argentina,LA Musiani
Argentina,P Baron
Argentina,R Escobar
Argentina,T Rossi
Australia,A Symonds
Australia,A Zampa
Australia,AC Agar
Australia,AC Gilchrist
Australia,AJ Finch
Australia,AJ Turner
Australia,AT Carey
Australia,B Lee
Australia,BJ Haddin
Australia,BR McDermott
Australia,C Green
Australia,CL White
Australia,DA Warner
Australia,DJ Hussey
Australia,DJM Short
Australia,DT Christian
Australia,GJ Bailey
Australia,GJ Maxwell
Australia,JP Faulkner
Australia,JP Inglis
Australia,MA Starc
Australia,MC Henriques
Australia,MEK Hussey
Australia,MG Johnson
Australia,MJ Clarke
Australia,MP Stoinis
Australia,MR Marsh
Australia,MS Wade
Australia,MW Short
Australia,PJ Cummins
Australia,RT Ponting
Australia,SE Marsh
Australia,SPD Smith
Australia,SR Watson
Australia,TH David
Australia,TM Head
Austria,A Randhawa
Austria,Abdullah Akbarjan
Austria,Aqib Iqbal
Austria,Bilal Zalmai
Austria,Iqbal Hossain
Austria,Jaweed Sadran
Austria,Karanbir Singh
Austria,M Simpson-Parker
Austria,MPS Cheema
Austria,Mirza Ahsan
Austria,Razmal Shigiwal
Austria,Sahel Zadran
Austria,Shahil Momin
Austria,Umair Tariq
Bahamas,A Harris
Bahamas,D Wheatley
Bahamas,E Duff
Bahamas,Festus Benn
Bahamas,GT Taylor
Bahamas,J Jemison
Bahamas,K Hinds
Bahamas,M Taylor
Bahamas,R Davson
Bahamas,Rudolph Fox
Bahamas,Sandeep Goud
Bahrain,Abdul Majid Abbasi
Bahrain,Ahmer Bin Nisar
Bahrain,Ali Dawood
Bahrain,Asif Ali
Bahrain,DK Mathias
Bahrain,Fiaz Ahmed
Bahrain,Haider Butt
Bahrain,Imran Ali Butt
Bahrain,Imran Anwar
Bahrain,Junaid Aziz
Bahrain,P Kurup
Bahrain,Rizwan Butt
Bahrain,S Veerapathiran
Bahrain,Sarfaraz Ali
Bahrain,Sohail Ahmed
Bahrain,Umer Imtiaz
Bangladesh,Afif Hossain
Bangladesh,Anamul Haque
Bangladesh,Jaker Ali
Bangladesh,Liton Das
Bangladesh,Mahedi Hasan
Bangladesh,Mahmudullah
Bangladesh,Mashrafe Mortaza
Bangladesh,Mehedi Hasan Miraz
Bangladesh,Mohammad Ashraful
Bangladesh,Mohammad Naim
Bangladesh,Mohammad Saifuddin
Bangladesh,Mosaddek Hossain
Bangladesh,Mushfiqur Rahim
Bangladesh,Mustafizur Rahman
Bangladesh,Nasir Hossain
Bangladesh,Nasum Ahmed
Bangladesh,Nazmul Hossain Shanto
Bangladesh,Nurul Hasan
Bangladesh,Parvez Hossain Emon
Bangladesh,Rishad Hossain
Bangladesh,Rubel Hossain
Bangladesh,Sabbir Rahman
Bangladesh,Shakib Al Hasan
Bangladesh,Shamim Hossain
Bangladesh,Shoriful Islam
Bangladesh,Soumya Sarkar
Bangladesh,Tamim Iqbal
Bangladesh,Tanzid Hasan
Bangladesh,Tanzim Hasan Sakib
Bangladesh,Taskin Ahmed
Bangladesh,Towhid Hridoy
Bangladesh,Yasir Ali Chowdhury
Belgium,A Raza
Belgium,B Niaz
Belgium,Khalid Ahmadi
Belgium,Muhammad Muneeb
Belgium,Murid Ekrami
Belgium,Omid Mailk Khel
Belgium,Saber Zakhil
Belgium,Shaheryar Butt
Belgium,Sheraz Sheikh
Belgium,Wahidullah Usmani
Bermuda,AC Douglas
Bermuda,AD Dore
Bermuda,D Sabir
Bermuda,DC Stovell
Bermuda,DL Brangman
Bermuda,DMW Rawlins
Bermuda,KS Leverock
Bermuda,MO Jones
Bermuda,OGL Bascome
Bermuda,S Smith
Bermuda,T Manders
Bermuda,TS Fray
Bermuda,Z Burgess
Bhutan,GK Ghalley
Bhutan,J Singye
Bhutan,Namgay Thinley
Bhutan,RM Dorji
Bhutan,S Loday
Bhutan,S Pradhan
Bhutan,S Yeshi
Bhutan,T Jamtsho
Bhutan,T Wangchuk
Bhutan,Tenjin Rabgey
Botswana,Ameer Saiyed
Botswana,D Maisuria
Botswana,K Motlanka
Botswana,M Mooketsi
Botswana,P Silas
Botswana,R Nehonde
Botswana,T Perera
Botswana,T Tshose
Botswana,V Balakrishnan
Botswana,V Mbazo
Bulgaria,D Nikolov
Bulgaria,H Lakov
Bulgaria,IA De Silva
Bulgaria,J Albin
Bulgaria,KC D'Souza
Bulgaria,Omar Rassol
Bulgaria,P Mishra
Bulgaria,Sulaiman Ali
Cambodia,E Beukes
Cambodia,Lakshit Gupta
Cambodia,Luqman Butt
Cambodia,RR Sharan
Cambodia,S Godara
Cambodia,Salvin Stanly
Cambodia,Shah Abrar Hussain
Cambodia,US Hathinjar
Cambodia,Utkarsh Jain
Cameroon,AN Aminou
Cameroon,AN Toube
Cameroon,AR Balla
Cameroon,BN Toube
Cameroon,DB Loic
Cameroon,FJ Mpegna
Cameroon,I Tchakou
Cameroon,JB Abega
